[04:38:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_delta.js in 0.005 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_beta.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/debilis_c.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_alpha.js in 0.007 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/serums/potentia_omega.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/special_power/magnetokinesis/metal_telekinesis.js in 0.008 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/special_power/telepathy/telepathy_submission.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/special_power/telepathy/experience_transfer.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/special_power/umbrakinesis/shadow_tendril.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/special_power/umbrakinesis/shadow_strider.js in 0.004 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/switch_special_power_3.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/switch_special_power_2.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/dynamic_attributes.js in 0.012 s
[04:38:45] [INFO] Loaded script addonpack_potentia:kubejs_scripts/switch_special_power_1.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb_roof_condition.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb_move_condition.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb_condition.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb.js in 0.013 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/use_genetic_blocker.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stone_stat_index.js in 0.009 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stone_index.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stockpile_debuffs.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stockpile_ability.js in 0.022 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stat_ability.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/speed_auto_attack.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_repair_damage.js in 0.029 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_armaments_weapon.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_armaments_cycle.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_armaments.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/shanti_virus_improved.js in 0.012 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/shanti_virus.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/replication.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/radiation.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/punch_radius_damage.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/power_score_reset.js in 0.002 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_storage.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_shift.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_end.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_domain_water.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_domain_lava.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_domain.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality.js in 0.003 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_eject.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/overload_condition.js in 0.0 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ocular_tags.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ocular_emulate.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/motion_abil_score.js in 0.001 s
[04:38:45] [INFO] Loaded script addonpack_heroes:kubejs_scripts/motion_abil.js in 0.001 s
